Organization Name,API URL
杭州地铁,http://10.225.29.98
空军军医-qa,https://lms-university-fmmu.tronclass.com.cn
双元教育,http://study.qtone-wr.com
西安电子科技大学,http://lms.xidian.edu.cn
孤独的阅读者,https://lms.lonelyreader.com
亞東科技大學,https://elearning.aeust.edu.tw
西安欧亚学院,https://lms.eurasia.edu
ahmu,https://lms.ahmu.edu.cn
北京师范大学,https://lms.bnu.edu.cn
北京市工业技师学院,http://lms.bitc.org.cn
滁州学院,https://www.ahmooc.cn:443
天主教輔仁大學,https://elearn2.fju.edu.tw
淡江大學,https://iclass.tku.edu.tw
Tamkang University,https://iclass.tku.edu.tw
中國文化大學,https://tronclass.com.tw
首钢工学院,https://lms.sgjx.com.cn
國立臺灣海洋大學,https://tronclass.ntou.edu.tw
首钢技师学院,https://lms.sgjx.com.cn
馬偕學校財團法人馬偕醫護管理專科學校,https://tronclass.mkc.edu.tw
National Taiwan Ocean University,https://tronclass.ntou.edu.tw
澳門鏡湖護理學院,https://tronclass.kwnc.edu.mo
西安交通大学在线学习平台（本科生）,https://class.xjtu.edu.cn
National Defense Medical Center,http://210.60.124.12
上海市师资培训中心,http://wlyx.21shte.net
Kiang Wu Nursing College of Macau,https://tronclass.kwnc.edu.mo
KW of Macau,https://tronclass.kwnc.edu.mo
Hungkuang University,https://tronclass.hk.edu.tw
弘光科技大學,https://tronclass.hk.edu.tw
弘光科技大學 Hungkuang University (line),https://tronclass.hk.edu.tw:8080
"Mackay Junior College of Medicine, Nursing, and Management",https://tronclass.mkc.edu.tw
朝陽科技大學,https://tronclass.cyut.edu.tw
元培醫事科技大學,https://tronclass.ypu.edu.tw
酷課OnO線上教室,https://ono.tp.edu.tw
台灣大學進修推廣學院,https://elearn.ntuspecs.ntu.edu.tw
國立雲林科技大學,https://eclass.yuntech.edu.tw
東海大學 Tunghai University (APP登入 / APP Login),https://ilearn.thu.edu.tw
東海大學 Tunghai University (line notify),https://ilearn.thu.edu.tw
東海大學 Tunghai University (體驗網站),https://ilearn.thu.edu.tw
浙江大学,https://courses.zju.edu.cn
apple-qa,https://lms-qa.tronclass.com.cn
智惠教育中心演示环境,https://uateduhub-class.zju.edu.cn
智惠教育中心,https://eduhub-class.zju.edu.cn
Education Hub,https://eduhub-class.zju.edu.cn
广西英华国际职业学院,https://www.365dx.com
兰州理工大学技术工程学院,https://www.365dx.com
洛阳科技职业学院,https://www.365dx.com
北京爱因生教育投资有限责任公司,https://www.365dx.com
南京旅游职业学院,http://192.168.45.241
上海开放大学非学历培训,https://troncourse.shou.org.cn
北京市城市管理高级技术学校,http://lms.bjmac.com.cn/
苏州大学,http://42.244.43.181
上海电力大学,http://10.166.18.62
北京市经贸高级技术学校,http://111.204.133.20:8123
安徽城市管理职业学院,http://172.168.1.27
qa-arm,https://lms-arm.tronclass.com.cn
wg-aliyun-stg,https://lms-stg.tronclass.com.cn
AR-SEED模拟教学培训体系,https://syf.zj.zju.edu.cn
浙江研究生课程联盟,https://zjyjs.zj.zju.edu.cn
复旦大学,http://10.107.12.81
复旦大学POC,http://129.211.105.65
澳門城市大學 City University of Macau,https://tronclass.cityu.edu.mo
test-local,http://192.168.11.56:5000
qa-product,https://lms-qa.tronclass.com.cn
qa-product-test,https://lms-qa.tronclass.com.cn
AIR 演示机构,https://air-beta.tronclass.com.cn
stg-dashboard,http://lms-stg.tronclass.com.cn/
qa-dashboard,http://qa-product.tronclass.com.cn
project-马偕,http://qa-project.tronclass.com.cn
qa-project,http://qa-project.tronclass.com.cn
實踐大學高雄校區,https://tronclass.kh.usc.edu.tw
华为openlab,http://172.16.79.194
海警学院,http://10.2.214.31
AFEU,https://kjgc.tronclass.com.cn
qa-product-tw,https://lms-qa.tronclass.com.cn
明道大學,https://tronclass.mdu.edu.tw
亞洲大學,https://tronclass.asia.edu.tw
阿里云智慧教学,http://47.117.138.189
qa-product-org-6,https://lms-product.tronclass.com.cn
北京市工贸技师学院,http://60.247.15.152
tronclass-dev,http://192.168.11.106:5000
湖南开放大学-qa,https://lms-university.tronclass.com.cn
qa-sharding-master,https://lms-product.tronclass.com.cn
qa-sharding-child-1,https://lms-product.tronclass.com.cn
聚碩互動課堂,https://az.tronclass.com
Like It Formosa,https://az.tronclass.com
CUMTEST,https://tctest.cityu.edu.mo
Taiwan Digital Opportunity Center,https://tdoc.tronclass.com
学在吉大,https://jwccourses.jlu.edu.cn
MS Learn,https://az.tronclass.com
qa-incast-test,https://lms-qa.tronclass.com.cn
長榮大學,https://tronclass.cjcu.edu.tw
Chang Jung Christian University(CJCU),https://tronclass.cjcu.edu.tw
國立虎尾科技大學,https://ulearn.nfu.edu.tw
National Formosa University,https://ulearn.nfu.edu.tw
qa-incast-test-ouya,https://lms-qa.tronclass.com.cn
國立東華大學,https://az.tronclass.com
National Dong Hwa University,https://az.tronclass.com
qa-product-org-7,https://lms-qa.tronclass.com.cn
STUDIO A 晶實科技,https://az.tronclass.com
政大策略管理中心(iSVMS)/avm,https://az.tronclass.com
wgtp-staging1,https://staging.tronclass.com.tw:8080
Chung Shan Medical University,https://az.tronclass.com
wgtp-staging2,https://staging.tronclass.com.tw:8085
國際醫療翻譯協會/imtia,https://az.tronclass.com
真理大學,https://tronclass.au.edu.tw
lms_api_tests,https://api-test.tronclass.com.cn
亞太教育/asia-learning,https://az.tronclass.com
空中英語教室/StudioClassroom,https://az.tronclass.com
ADP,https://az.tronclass.com
CCUoversea,https://az.tronclass.com
CCUoversea,https://az.tronclass.com
國立臺中教育大學/NTCU,https://az.tronclass.com
National Taichung University of Education /NTCU,https://az.tronclass.com
國立臺中教育大學,https://az.tronclass.com
國泰學習網,https://cathaylife.tronclass.com
大漢技術學院/dahan,https://az.tronclass.com
Dahan Institute of Technology,https://az.tronclass.com
長庚科技大學-Chang Gung of Science and Technology,https://tronclass.cgust.edu.tw
Thailand,https://az.tronclass.com
翰品學院/Hanpin,https://az.tronclass.com
Hanpin,https://az.tronclass.com
1999ttsl,https://az.tronclass.com
僑光科技大學/Overseas Chinese University/OCU,https://tronclass.ocu.edu.tw
DSTAR,https://dstar.tronclass.com
DSTAR,https://dstar.tronclass.com
DSTAR_勞動部(桃竹苗分署),https://dstar-wda.tronclass.com
示範學校5,https://staging-lms.tronclass.com
HIT Smart Learning,https://hit.tronclass.com
中部汽車股份有限公司,https://toyotacm.tronclass.com
Central Taiwan University of Science and Technology,https://tronclass.ctust.edu.tw
泰國台商網路學院,https://ttba-online.tronclass.com
INTACT Base ( 海外基地 ),https://intactchinese.csu.edu.tw
Malaysia Recsam,https://my.tronclass.com
元智大學終身教育部/YZU,https://yzu.tronclass.com
TronClass Workshop/TronClass 工作坊,https://ws.tronclass.com
河北农业大学,http://lms.hebau.edu.cn
勞動部勞動力發展署-淨零永續數位學習平台,https://wda-online.tronclass.com
智焄學校 / tranwisdom,https://tranwisdom.tronclass.com
NetDragon,https://netdragon.tronclass.com
佳醫健康,https://excelsiormedical.tronclass.com
AMC空中美語,https://amc.tronclass.com
銘傳大學 / MCU,https://mcu.tronclass.com
寀奕國際,https://taieasy.tronclass.com
